Código - PDM;Título - PDM;Descrição Longa - PDM;Descrição Curta - PDM;Característica - Descrição;Conteúdo - Descrição;Descrição Curta - Conteúdo;Unidade - Descrição;Sigla - Unidade
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;CLASSE PRESSAO/ESPESSURA;325;325;LIBRA FORCA POR POLEGADA QUADRADA;PSI
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;CLASSE PRESSAO/ESPESSURA;600;600;LIBRA;#
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;CLASSE PRESSAO/ESPESSURA;9,27;9,27;MILIMETRO;mm
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;CLASSE PRESSAO/ESPESSURA;SCHEDULE 120;SCH120;;
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;CLASSE PRESSAO/ESPESSURA;SCHEDULE 20;SCH20;;
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;CLASSE PRESSAO/ESPESSURA;SCHEDULE 40;SCH40;;
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;CLASSE PRESSAO/ESPESSURA;SCHEDULE 80;SCH80;;
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;1;1;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;1.1/4;1.1/4;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;1/2;1/2;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;1/4;1/4;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;10;10;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;12;12;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;16;16;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;2;2;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;2.1/2;2.1/2;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;20;20;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;3;3;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;3/4;3/4;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;3/8;3/8;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;30;30;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;38;38;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;4;4;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;5;5;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;5/8;5/8;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;6;6;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;DIAMETRO NOMINAL;8;8;POLEGADA;""""
SMK-CAMET;TAMPAO METALICO;TAMPAO METALICO;TAMPAO MET;FABRICANTE-REFERENCIA;TUPY-301;TUPY-301;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;COR;BRANCO;BR;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;COMBUSTIVEL;DIESEL;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;POTENCIA MOTOR;280;280;CAVALO VAPOR;CV
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;TRANSMISAO;MANUAL 16 MARCHAS FRENTE/2 RE;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;TRACAO;6 X 4;6X4;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;CAPACIDADE CARGA;26300;26300;QUILOGRAMA;Kg
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;ANO FABRICACAO;2012;2012;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;TIPO CABINE;ESTENDIDA;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;CARROCERIA;CHASSIS;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;NUMERO EIXOS;3 EIXOS;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;EMBREAGEM;MONODISCO;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;SUSPENSAO;FEIXO MOLA;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;DIRECAO;HIDRAULICA INTEGRAL;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;ARO RODA;7,5X22,5;;POLEGADA;""""
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;FREIO;TAMBOR;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;PESO TOTAL;16000;;QUILOGRAMA;Kg
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;ACESSORIO;AR CONDICIONADO;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;CARACTERISTICA CONSTRUCAO;DIRECAO HIDRAULICA;;;
SMK-CAMIN;CAMINHAO;CAMINHAO;CAMINHAO;FABRICANTE-REFERENCIA;VOLKSWAGEN-CONSTELLATION 26-280;VOLKSWAGEN-CONSTELLATION 26-280;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;ADMINISTRACAO;ADM;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;AGRICOLA;AGR;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;ANTI-CHAMA;ANTI;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;CARREGADOR ACUCAR;ACU;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;CIPA;CIPA;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;CORTADOR CANA;CANA;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;DEFENSIVOS;DEF;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;DISTRIBUICAO;DIST;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;ELETRICISTA (OPERACIONAL RISCO II);ELET;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;EVENTOS;EVEN;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;FABRICA;FAB;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;FLORESTAL;FLO;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;FLORESTAL;F/T/S;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;FORCA TRABALHO;TRAB;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;GUARDA VIDA;VIDA;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;MECANICO;MEC;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;MOTORISTA;MOT;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;OPERACIONAL;OPER;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;OPERADOR MOTOSSERRA;OP-MS;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;PLANTA MISTA/FOODS/TRIGO;M/F/T;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;PRODUCAO;PROD;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;PROFISSIONAL;PROF;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;SEGURANCA;SEG;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;SUGAR;SUG;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;APLICACAO;TRATORISTA;TRAT;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO;BASICO;BAS;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO;CAMISETE;CMSET;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO;JALECO;JAL;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO;POLO;POL;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO;POLO BABY LOOK;POL BL;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO;SOCIAL;SOC;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;CATEGORIA;FEMININO;FEM;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;CATEGORIA;MASCULINO;MAS;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;CATEGORIA;UNISSEX;UNI;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FRENTE;ABERTA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FRENTE;FECHADA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FRENTE;SEMI-ABERTA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;BOTAO CASEADO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;BOTAO EMBUTIDO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;BOTAO NORMAL;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;BOTAO PRESSAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;BOTAO/VELCRO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;SEM BOTAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;VELCRO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;VELCRO EMBUTIDO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;VELCRO VISTA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;FECHAMENTO;ZIPER/BOTAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;CARECA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;CARECA (COMUM / OLIMPICA);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;CLASSICA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;COLARINHO BOTAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;COLARINHO PE GOLA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;ESPORTE;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;ESPORTE SEM BOTAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;FECHADA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;GOLA BI-PARTIDA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;GOLA ITALIANA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;GOLA PADRE/CHINESA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;GOLA V;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;PADRE DUPLA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;POLO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;REDONDA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;SEM GOLA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO GOLA;SOCIAL;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO MANGA;3/4;3/4;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO MANGA;CURTA;CT;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO MANGA;LARGA;LAR;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO MANGA;LONGA;LG;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO MANGA;LONGA CANHAO;LC;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO MANGA;LONGA COM PUNHO;LON;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO MANGA;LONGA PUNHO COM ELASTICO;LG;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TIPO MANGA;SEM MANGA;S/M;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% (CORINGA);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% ALGODAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% ALGODAO (CORINGA LEVE);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% ALGODAO (SOLASOL);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% ALGODAO (TAPE);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% ALGODAO (TECHNOPOLO LIGHT 5150);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% ALGODAO COM IGNIFUGANTE (BANOX);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;100% POLIESTIRENO (HELANCA);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;15% PARA-ARAMIDA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;31% MODA ACRILICO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;33% LYOCEL e 2% FIBRA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;34% NOMEX E KEVLAR;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;37% FIBRA CELULOSICA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;48% ALGODAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;48% ALGODAO 52% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;48% MODACRILICO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;48% MODACRILICO 37% FIBRA CELULOSICA (SARJA 2/1);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;50% ALGODAO 50% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;52% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;60% ALGODAO - 40% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;60% ALGODAO 40% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;60% ALGODAO 40% POLIESTER (SEMPRIGUAL);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;60% ALGODAO 40% POLIESTER (TECHNOFILL);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;65% MODACRILICO 33% ARAMIDA 2% FIBRA ANTIESTATICA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;65% MODACRILICO 33% ARAMIDA 2% FIBRA ANTIESTATICA (PROTERA);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;67% ALGODAO 33% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;67% ALGODAO 33% POLIESTER (POLYBRIM LIGHT);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;67% POLIESTER 33% ALGODAO (GRAFIL);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;67% POLIESTER+33% VISCOSE;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;70% ALGODAO + 30% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;70% ALGODAO 30% POLIESTER;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;70% ALGODAO 30% POLIESTER (SKY WORK);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;83% POLIESTER 17% ALGODAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;88% ALGODAO 12% FIBRA SINTETICA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;88% ALGODAO 12% FIBRAS (INDURA ULTRA SOFT STYLE 301);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;88% ALGODAO 12% POLIAMIDA FR (BLENDA FR7);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;92% POLIESTER 8% ELASTANO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;93% META ARAMIDA 5% PARA ARAMIDA 2 FIBRA ANTIESTATICA (NOMEX);;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;ALGODAO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;ARAMIDA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;ARAMIDA / ACRILICO 247 G/M2 ATPV 8,4;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;BRIM;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;BRIM LEVE;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;DELAVE;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;JEANS;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;MALHA PIQUET;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;MALHA PV;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;SARJA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;SEMPRIGUAL;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;SITEL FILL;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TECIDO;TERBRIM;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;1 BOLSO FRONTAL LADO ESQUERDO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;1 BOLSO PEITO ESQUERDO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;1 ESQUERDA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;1 FRONTAL;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;1 SUPERIOR;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;2 BOLSOS SUPERIOR E FRONTAL;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;2 CINTURA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;2 SUPERIOR;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;BOLSO-QUANTIDADE X POSICAO;SEM BOLSO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;BOLSO SUP ESQ CHAPADO EXT TAMPA/VELCRO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;CHAPADO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;CHAPADO 5 CANTOS;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;CHAPADO EXTER S/ TAMPA VELCRO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;CHAPADO EXTERNO COM TAMPA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;CHAPADO RETO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;CHAPADO SUPERIOR;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;COM ABA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;DOIS BOLSOS SUPERIOR FRONTAL;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;SUPERIOR TAMPA FECHADA VELCRO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;MODELO BOLSO;TAMPA C/BOTAO ABERTURA CANETA;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COSTAS;TECIDO DUPLO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COSTAS;TECIDO UNICO;;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AMARELO;AM;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AMARELO / VERMELHO;AM/VM;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;ANIZ;AN;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AREIA;AR;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL 502;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL 503;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL 503 / LARANJA J29;AZ/LJ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL 504;AZ 504;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL 518;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL 518 / LARANJA J29;AZ/LJ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL 519;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL 953;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL CEDRO;AZ CD;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL CELESTE;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL CELESTE 270;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL CESLESTE;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL CLARO;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL CLARO 500;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL MARINHO;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL MARITIMO;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL P50;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL P53;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL ROYAL;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL ROYAL 1014;AZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL ROYAL 504 / LARANJA J29;AZ/LJ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL V02;AZ V02;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;AZUL/VERDE;AZ/VD;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;BEGE 729;BG;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;BRANCO;BR;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;BRANCO 001;BR001;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;BRANCO 007;BR007;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;CAQUI;CQ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;CAQUI 723;CAQ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;CAQUI 750;CAQ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;CINZA;CZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;CINZA 816;CZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;CIPLESTE;CIP;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;DELAVE;DELAV;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;DELAVE AZUL CLARO;DELAZ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;DELAVE P50;DELP50;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;DELAVE-AZUL CLARO;DAC;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;LARANJA;LJ;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;LARANJA C29;LJ C29;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;MANTEIGA;MANT;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;MENTA G63;ME;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;PRETO;PT;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;VERDE 608;VD;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;VERDE 616;VD;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;COR;VERDE G60;VD;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;1;1;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;10;10;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;2;2;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;3;3;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;4;4;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;40;40;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;42;42;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;42/44;42/44;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;44;44;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;46/48;46/48;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;5;5;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;50/52;50/52;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;52;52;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;54/56;54/56;;
SMK-CAMIS;CAMISA;CAMISA;CAMISA;TAMANHO;58/60;58/60;;
